QuestionID	Question	DocumentID	DocumentTitle	SentenceID	Sentence	Label
Q1	What is image processing?	D1	Image Processing Introduction	D1-0	Image processing involves the manipulation of images to achieve desired outcomes.	1
Q1	What is image processing?	D1	Image Processing Introduction	D1-1	It includes various techniques for enhancing and analyzing images.	0
Q1	What is image processing?	D1	Image Processing Introduction	D1-2	The process is unrelated to text processing.	0
Q2	What are the main applications?	D1	Image Processing Introduction	D2-0	Applications include medical imaging, remote sensing, and computer vision.	1
Q2	What are the main applications?	D1	Image Processing Introduction	D2-1	Image processing is not used for text editing.	0
Q3	What are the basic steps?	D1	Image Processing Introduction	D3-0	Basic steps include image acquisition, preprocessing, segmentation, and feature extraction.	1
Q3	What are the basic steps?	D1	Image Processing Introduction	D3-1	It often starts with image  interpretation and ends with image acquisition.	0
Q4	What are digital images?	D2	Digital Images and Point Processes	D4-0	Digital images are composed of pixels, each representing a specific color or intensity.	1
Q4	What are digital images?	D2	Digital Images and Point Processes	D4-1	They same with analog images, which are continuous signals.	0
Q5	Difference between digital and analog?	D2	Digital Images and Point Processes	D5-0	Digital images are discrete, while analog images are continuous.	1
Q5	Difference between digital and analog?	D2	Digital Images and Point Processes	D5-1	Analog images  have pixels.	0
Q6	What are point processes?	D2	Digital Images and Point Processes	D6-0	Point processes are operations applied to individual pixels in an image, such as thresholding.	1
Q6	What are point processes?	D2	Digital Images and Point Processes	D6-1	They consider the pixel’s neighborhood.	0
Q7	What are linear filters?	D3	Linear and Non-Linear Filters	D7-0	Linear filters are used to smooth or sharpen images by modifying pixel values using convolution.	1
Q7	What are linear filters?	D3	Linear and Non-Linear Filters	D7-1	Linear filters are filters that change the image colors to black and white only.	0
Q7	What are linear filters?	D4	Linear and Non-Linear Filters	D7-2	Linear filters are filters that randomly rearrange the pixels in an image.	0
Q8	Examples of linear filters?	D3	Linear and Non-Linear Filters	D8-0	Examples include Gaussian filter and average filter.	1
Q8	Examples of linear filters?	D3	Linear and Non-Linear Filters	D8-1	Linear filters include median filters.	0
Q8	Examples of linear filters?	D3	Linear and Non-Linear Filters	D8-2	Gaussian noise filter and Oil paint filter.	0
Q8	Examples of linear filters?	D3	Linear and Non-Linear Filters	D8-3	Motion blur filter and Emboss filter.	0
Q9	Difference between linear and non-linear filters?	D3	Linear and Non-Linear Filters	D9-0	Non-linear filters use the pixel values in the neighborhood but do not apply convolution.	1
Q9	Difference between linear and non-linear filters?	D3	Linear and Non-Linear Filters	D9-1	They do not include filters like median and bilateral filters.	0
Q9	Difference between linear and non-linear filters?	D3	Linear and Non-Linear Filters	D9-2	Linear filters are used only for videos, while non-linear filters are used only for photos.	0
Q10	What is a histogram?	D4	Histogram (Whole Image Understanding)	D10-0	A histogram represents the frequency distribution of pixel intensities in an image.	1
Q10	What is a histogram?	D4	Histogram (Whole Image Understanding)	D10-1	A histogram is a graph that displays the color palette of an image.	0
Q10	What is a histogram?	D4	Histogram (Whole Image Understanding)	D10-2	A histogram is a tool used to measure the height of an image.	0
Q11	What is histogram equalization?	D4	Histogram (Whole Image Understanding)	D11-0	Histogram equalization improves the contrast of an image by redistributing the pixel intensity values.	1
Q11	What is histogram equalization?	D4	Histogram (Whole Image Understanding)	D11-1	Histogram equalization is used to change the resolution of an image to equal dimensions.	0
Q11	What is histogram equalization?	D4	Histogram (Whole Image Understanding)	D11-2	Histogram equalization refers to equalizing the file sizes of multiple images.	0
Q12	How does it improve contrast?	D4	Histogram (Whole Image Understanding)	D12-0	By spreading out the intensity values, it makes the darker regions lighter and the lighter regions darker.	1
